ledgerid,coa_id,createdat,lastupdatedat,userid,accountingtype,currency,producttype,attrjson,creditlimit,overdraftlimit,state,debitors,ifi,sub_product_type,zeta_user_id,ifi_product_type,ah_id,ah_debitors,name,code,description,requestid,payload_hash,lastpostingid,lasttransactionid,lastreceipthash,currentbalance
318013215946989431,,2023-04-23 08:43:14.978236+00:00,2023-04-23 08:43:14.978236+00:00,,ASSET,INR,ACCOUNT_HOLDER,"{""channel"":""ruby"",""loanType"":""merchantEMI"",""timeZone"":""Asia/Kolkata"",""aura.coa-id"":""8856676763747829001"",""interestRate"":""35.5"",""account.pd-id"":""3262725594355241760"",""account.pf-id"":""8643996531221736343"",""account.source"":""emerald"",""sourceLedgerId"":""4621989478929500619"",""sourceAccountId"":""63219c1d-0e16-453b-aed5-1646d880e876"",""sourceProductId"":""7762450906761625876"",""account.provider"":""emerald"",""account.loan-amount"":""500000"",""aura.parent-node-id"":""7874456330822347140"",""sourceTransactionID"":""20230423084257038_874_Req_clearance_1682239365"",""sourceTransactionDate"":""2023-04-23"",""account.loan-book-date"":""2010-03-27"",""account.loan-value-date"":""2010-03-27"",""account.loan-account-name"":""APR_loan_booking"",""interestAmountAsOnBookingDate"":""11340""}",,0,CLOSED,,140793,,,,b8364f19-a800-46e3-b0a3-fd04b68b8a26,"[""b8364f19-a800-46e3-b0a3-fd04b68b8a26""]",,,,AIONloga_loan_process_611,5dcb8e66e51dfe129a786a87c4e8d2c3,251664,20230601101754430_3330_0c0d60cb-2847-480e-87e1-cbf8e29faa95,ybFdIQ==,0
541822722858478208,,2023-04-20 11:16:46.530564+00:00,2023-04-20 11:16:46.530564+00:00,,ASSET,INR,ACCOUNT_HOLDER,"{""channel"":""ruby"",""loanType"":""merchantEMI"",""timeZone"":""Asia/Kolkata"",""aura.coa-id"":""8856676763747829001"",""interestRate"":""35.5"",""account.pd-id"":""3262725594355241760"",""account.pf-id"":""8643996531221736343"",""account.source"":""emerald"",""sourceLedgerId"":""4521352663005193639"",""sourceAccountId"":""e8380c46-67ef-4f3e-b13b-26dcb0e76ae2"",""sourceProductId"":""7762450906761625876"",""account.provider"":""emerald"",""account.loan-amount"":""1000000"",""aura.parent-node-id"":""7874456330822347140"",""sourceTransactionID"":""20230420111622416_2057_Req_clearance_1681989382"",""sourceTransactionDate"":""2023-04-20"",""account.loan-book-date"":""2010-03-26"",""account.loan-value-date"":""2010-03-26"",""account.loan-account-name"":""APR_loan_booking"",""interestAmountAsOnBookingDate"":""16895""}",,0,CLOSED,,140793,,,,35428cbf-5610-44f1-b1c2-6d42a945294d,"[""35428cbf-5610-44f1-b1c2-6d42a945294d""]",,,,AIONloga_loan_process_955,a3ca3410a9bacc61341e08956eb11adf,940247,20230624084417235_UpdateState_3bfc8ea6-bcae-47e3-8bd5-051eb5ba2321,gaUlCQ==,102887
848688172369447354,,2023-05-02 10:16:20.662644+00:00,2023-05-02 10:16:20.662644+00:00,,ASSET,INR,ACCOUNT_HOLDER,"{""channel"":""ruby"",""loanType"":""merchantEMI"",""timeZone"":""Asia/Kolkata"",""aura.coa-id"":""8856676763747829001"",""interestRate"":""15.75"",""account.pd-id"":""3262725594355241760"",""account.pf-id"":""8643996531221736343"",""account.source"":""emerald"",""sourceLedgerId"":""9165047187991512343"",""sourceAccountId"":""8ce5b7af-cf52-452a-83c8-2ac6b39c303d"",""sourceProductId"":""7762450906761625876"",""account.provider"":""emerald"",""account.loan-amount"":""600000"",""aura.parent-node-id"":""7874456330822347140"",""sourceTransactionID"":""20230502101539335_1990_EMI_00020"",""sourceTransactionDate"":""2023-05-02"",""account.loan-book-date"":""2010-03-28"",""account.loan-value-date"":""2010-03-28"",""account.loan-account-name"":""Emerald_Automation"",""interestAmountAsOnBookingDate"":""4698""}",,0,CLOSED,,140793,,,,395af85e-44be-4c90-9739-c644c8dddda2,"[""395af85e-44be-4c90-9739-c644c8dddda2""]",,,,1682243534846_0006,557ed9804436e3e3ed89bc235bcae76e,751403,20230502101811970_5763_b25060e2-755e-4919-86c3-4ad56a33e41a,+DSe4A==,0
894425648537326004,,2023-03-24 04:14:04.673869+00:00,2023-03-24 04:14:04.673869+00:00,,ASSET,INR,ACCOUNT_HOLDER,"{""vbo-id"":""f57d7f96-b12a-40de-b45e-79dcf53ffe02"",""currency"":""INR"",""aura.coa-id"":""4035248022331589538"",""creditLimit"":""10000000"",""account.pd-id"":""2522743094697248881"",""account.pf-id"":""5431494089807464515"",""account.openDate"":""2010-03-23"",""account.provider"":""ruby"",""issuance.location"":""TN"",""aura.parent-node-id"":""5431494089807464515"",""ruby.annual-fee.treatment"":""REGULAR""}",9223372036854775807,0,CLOSED,,140793,,,,9030b79b-35d4-4571-90a5-ccc7fd9c5f12,"[""9030b79b-35d4-4571-90a5-ccc7fd9c5f12""]",,,,0f8d5680-6937-464c-8a18-f5859ea5a768,c15c630e655887bdc222851ede3fc24c,265362,20240117192822278_1330_ded0c3c8-aa4b-4bb5-afcc-0a51756cf7c2,329F+A==,2361926
1453943853658201830,,2023-05-19 11:02:35.975278+00:00,2023-05-19 11:02:35.975278+00:00,,ASSET,INR,ACCOUNT_HOLDER,"{""channel"":""ruby"",""loanType"":""merchantEMI"",""timeZone"":""Asia/Kolkata"",""aura.coa-id"":""8856676763747829001"",""interestRate"":""35.5"",""account.pd-id"":""3262725594355241760"",""account.pf-id"":""8643996531221736343"",""account.source"":""emerald"",""sourceLedgerId"":""1126531956430930502"",""sourceAccountId"":""b05a519f-523f-46ea-a196-67de9925c60e"",""sourceProductId"":""7762450906761625876"",""account.provider"":""emerald"",""account.loan-amount"":""500000"",""aura.parent-node-id"":""7874456330822347140"",""sourceTransactionID"":""20230519110159859_1634_Req_clearance_1684494115"",""sourceTransactionDate"":""2023-05-19"",""account.loan-book-date"":""2010-04-17"",""account.loan-value-date"":""2010-04-17"",""account.loan-account-name"":""APR_loan_booking"",""interestAmountAsOnBookingDate"":""8875""}",,0,CLOSED,,140793,,,,21d82182-809a-4fbf-bb0a-d1a3f39240a3,"[""21d82182-809a-4fbf-bb0a-d1a3f39240a3""]",,,,AIONloga_loan_process_997,a2ec4c259d8a31ee953b6ba6a24b31f3,101646,20230620173950737_3732_ab370b42-0291-4782-b0c9-4ef3447d9e67,wuk7Vw==,0
1722473292802124646,,2023-04-21 12:05:51.432526+00:00,2023-04-21 12:05:51.432526+00:00,,ASSET,INR,ACCOUNT_HOLDER,"{""channel"":""ruby"",""loanType"":""merchantEMI"",""timeZone"":""Asia/Kolkata"",""aura.coa-id"":""8856676763747829001"",""interestRate"":""25.75"",""account.pd-id"":""3262725594355241760"",""account.pf-id"":""8643996531221736343"",""account.source"":""emerald"",""sourceLedgerId"":""4693264073654781662"",""sourceAccountId"":""0b7a74ff-9ab3-485b-afc4-31eca6ad9c5a"",""sourceProductId"":""7762450906761625876"",""account.provider"":""emerald"",""account.loan-amount"":""500000"",""aura.parent-node-id"":""7874456330822347140"",""sourceTransactionID"":""20230421120517617_192_EMI_0020"",""sourceTransactionDate"":""2023-04-21"",""account.loan-book-date"":""2010-03-26"",""account.loan-value-date"":""2010-03-26"",""account.loan-account-name"":""Emerald_Automation"",""interestAmountAsOnBookingDate"":""8279""}",,0,CLOSED,,140793,,,,395af85e-44be-4c90-9739-c644c8dddda2,"[""395af85e-44be-4c90-9739-c644c8dddda2""]",,,,1681910114612_033,c4f948a7eb694b2063d5a7193dc71800,303798,20230421120652982_1489_bcf95db1-c20b-4d9f-9fbc-d586a75ba755,wbpOpQ==,0
1998327072300046106,,2023-04-17 12:17:55.533838+00:00,2023-04-17 12:17:55.533838+00:00,,ASSET,INR,ACCOUNT_HOLDER,"{""channel"":""ruby"",""loanType"":""merchantEMI"",""timeZone"":""Asia/Kolkata"",""aura.coa-id"":""8856676763747829001"",""interestRate"":""35.5"",""account.pd-id"":""3262725594355241760"",""account.pf-id"":""8643996531221736343"",""account.source"":""emerald"",""sourceLedgerId"":""5936928087739955816"",""sourceAccountId"":""5524d494-6bea-4414-8bcb-72f31a9ff2fc"",""sourceProductId"":""7762450906761625876"",""account.provider"":""emerald"",""account.loan-amount"":""999700"",""aura.parent-node-id"":""7874456330822347140"",""sourceTransactionID"":""20230417121620079_7239_Req_clearance_1681733779"",""sourceTransactionDate"":""2023-04-17"",""account.loan-book-date"":""2010-03-26"",""account.loan-value-date"":""2010-03-26"",""account.loan-account-name"":""APR_loan_booking"",""interestAmountAsOnBookingDate"":""17876""}",,0,CLOSED,,140793,,,,dd2c3ef9-aa6b-43ab-8578-06bf577eaf9e,"[""dd2c3ef9-aa6b-43ab-8578-06bf577eaf9e""]",,,,AIONloga_loan_process_526,0bc25d20436256a7ad5a588b0c70bc04,476970,20230417122235248_122_141caea4-768e-480e-a8bd-a56281aa5827,Wh8x1w==,0
298537056653353409,,2023-04-12 13:39:09.439755+00:00,2023-04-12 13:39:09.439755+00:00,,ASSET,INR,ACCOUNT_HOLDER,"{""vbo-id"":""f57d7f96-b12a-40de-b45e-79dcf53ffe02"",""currency"":""INR"",""aura.coa-id"":""8856676763747829001"",""creditLimit"":""100000000"",""account.pd-id"":""7762450906761625876"",""account.pf-id"":""4573808434595996540"",""account.openDate"":""2010-03-23"",""account.provider"":""ruby"",""issuance.location"":""TN"",""aura.parent-node-id"":""4573808434595996540"",""ruby.annual-fee.treatment"":""REGULAR""}",9223372036854775807,0,CLOSED,,140793,,,,c242dbe0-6596-44b8-82b2-c8b99e798bfa,"[""c242dbe0-6596-44b8-82b2-c8b99e798bfa""]",,,,663a1764-f4cf-4d35-969a-3eeed02404c9,33802228e40c7e1e7d8638debc048786,395453,20230612140933030_64190@ledger.services.olympus_EnOl7g==,ElOKCg==,1107096
467698107944972168,,2023-04-21 11:56:38.961215+00:00,2023-04-21 11:56:38.961215+00:00,,ASSET,INR,ACCOUNT_HOLDER,"{""channel"":""ruby"",""loanType"":""merchantEMI"",""timeZone"":""Asia/Kolkata"",""aura.coa-id"":""8856676763747829001"",""interestRate"":""25.75"",""account.pd-id"":""3262725594355241760"",""account.pf-id"":""8643996531221736343"",""account.source"":""emerald"",""sourceLedgerId"":""4693264073654781662"",""sourceAccountId"":""0b7a74ff-9ab3-485b-afc4-31eca6ad9c5a"",""sourceProductId"":""7762450906761625876"",""account.provider"":""emerald"",""account.loan-amount"":""500000"",""aura.parent-node-id"":""7874456330822347140"",""sourceTransactionID"":""20230421115550954_419_EMI_0018"",""sourceTransactionDate"":""2023-04-21"",""account.loan-book-date"":""2010-03-26"",""account.loan-value-date"":""2010-03-26"",""account.loan-account-name"":""Emerald_Automation"",""interestAmountAsOnBookingDate"":""8279""}",,0,CLOSED,,140793,,,,395af85e-44be-4c90-9739-c644c8dddda2,"[""395af85e-44be-4c90-9739-c644c8dddda2""]",,,,1681910114612_031,a65c794c49333b98bc1b23c223787e8a,531393,20230531160928264_1984_ef729698-24d1-4e28-b984-483ffd396fb9,cmnGEg==,0
805294562325342842,,2023-04-19 09:42:39.684099+00:00,2023-04-19 09:42:39.684099+00:00,,ASSET,INR,ACCOUNT_HOLDER,"{""channel"":""ruby"",""loanType"":""merchantEMI"",""timeZone"":""Asia/Kolkata"",""aura.coa-id"":""8856676763747829001"",""interestRate"":""35.5"",""account.pd-id"":""3262725594355241760"",""account.pf-id"":""8643996531221736343"",""account.source"":""emerald"",""sourceLedgerId"":""1067597380725033442"",""sourceAccountId"":""6980d22b-f6d3-4706-a97c-5931718c913f"",""sourceProductId"":""7762450906761625876"",""account.provider"":""emerald"",""account.loan-amount"":""1000000"",""aura.parent-node-id"":""7874456330822347140"",""sourceTransactionID"":""20230419094111888_1386_Req_clearance_1681897260"",""sourceTransactionDate"":""2023-04-19"",""account.loan-book-date"":""2010-03-26"",""account.loan-value-date"":""2010-03-26"",""account.loan-account-name"":""APR_loan_booking"",""interestAmountAsOnBookingDate"":""16895""}",,0,CLOSED,,140793,,,,d0dc490c-4a55-4c4e-bd81-1354a0421995,"[""d0dc490c-4a55-4c4e-bd81-1354a0421995""]",,,,AIONloga_loan_process_974,ff61ba4ae4fa75e316329ae3dc96d2fa,131417,20230624084521518_UpdateState_b4df600e-381c-47aa-8b6a-3897cc70352a,+7x34w==,137179
