id,tenant_id,sequence_number,start_cbu_sequence_number,end_cbu_sequence_number,status,cycle_id,clock_id,calendar_id,attributes,created_at,modified_at,start_time,next_period_start_time,_load_ts_ms,cdc_source_ts_ms,live_processing_state,phase_transition_history,cdc_op
10287276901870955,140793,174,174,174,CLOSED,7940591464295992807,689510316990393175,3268689688417108647,"""null""",1970-01-01 00:00:00+00:00,2023-10-04 10:43:59.748875+00:00,2020-06-21 18:30:00+00:00,2020-06-22 18:30:00+00:00,1696416582000,1696416239749,CUTOFF,,
70086525122839748,140793,178,178,178,CLOSED,7940591464295992807,689510316990393175,3268689688417108647,"""null""",1970-01-01 00:00:00+00:00,2023-10-16 14:32:27.013737+00:00,2020-06-25 18:30:00+00:00,2020-06-26 18:30:00+00:00,1697467305000,1697466747014,CUTOFF,,
164310244197213559,140793,152,152,152,CLOSED,4601032047770235408,2798463839934780145,3945303092666725431,,1970-01-01 00:00:00+00:00,2023-07-14 18:01:50.728436+00:00,2020-05-30 18:30:00+00:00,2020-05-31 18:30:00+00:00,1689358419000,1689357710729,,,
193436938022619458,140793,132,132,132,CLOSED,7940591464295992807,689510316990393175,3268689688417108647,"""null""",1970-01-01 00:00:00+00:00,2023-08-21 05:24:01.252915+00:00,2020-05-10 18:30:00+00:00,2020-05-11 18:30:00+00:00,1692595993000,1692595441253,,,
204303904533467338,140793,194,194,194,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:57.267636+00:00,2023-05-18 03:03:29.423644+00:00,2020-07-11 18:30:00+00:00,2020-07-12 18:30:00+00:00,1687936211000,1687774709971,,,
244309885655154487,140793,147,147,147,CLOSED,5379327319334137665,7158459355840076639,758182417509032721,,1970-01-01 00:00:00+00:00,2023-07-06 14:38:19.818847+00:00,2010-05-26 18:30:00+00:00,2010-05-27 18:30:00+00:00,1688655400000,1688654299820,,,
264816275506893686,140793,142,142,142,CLOSED,4601032047770235408,2798463839934780145,3945303092666725431,,1970-01-01 00:00:00+00:00,2023-07-14 11:08:45.799378+00:00,2020-05-20 18:30:00+00:00,2020-05-21 18:30:00+00:00,1689333516000,1689332925800,,,
294533255944800467,140793,226,226,226,CLOSED,7463254804300335660,897846268663106726,4538061086482575544,"""null""",1970-01-01 00:00:00+00:00,2023-08-23 05:52:13.373683+00:00,2010-08-13 18:30:00+00:00,2010-08-14 18:30:00+00:00,1692770267000,1692769933377,,,
322770843715437672,140793,203,203,203,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:57.550842+00:00,2023-05-20 05:00:02.454064+00:00,2020-07-20 18:30:00+00:00,2020-07-21 18:30:00+00:00,1687936211000,1687774710894,,,
338193388694144119,140793,51,51,51,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:50.550572+00:00,2023-01-30 12:59:59.848945+00:00,2020-02-19 18:30:00+00:00,2020-02-20 18:30:00+00:00,1687936211000,1687774710965,,,
341281637214384347,140793,75,75,75,CLOSED,5379327319334137665,7158459355840076639,758182417509032721,,1970-01-01 00:00:00+00:00,2023-04-08 09:29:24.354616+00:00,2010-03-15 18:30:00+00:00,2010-03-16 18:30:00+00:00,1687936211000,1687774711046,,,
343281106755188684,140793,42,42,42,CLOSED,7463254804300335660,897846268663106726,4538061086482575544,,1970-01-01 00:00:00+00:00,2023-01-30 12:59:59.848945+00:00,2010-02-10 18:30:00+00:00,2010-02-11 18:30:00+00:00,1687936211000,1687774711050,,,
360061381100366295,140793,76,76,76,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:51.972831+00:00,2023-01-30 12:59:59.848945+00:00,2020-03-15 18:30:00+00:00,2020-03-16 18:30:00+00:00,1687936211000,1687774711167,,,
477587639186929354,140793,201,201,201,CLOSED,5379327319334137665,7158459355840076639,758182417509032721,"""null""",1970-01-01 00:00:00+00:00,2023-08-22 13:26:07.834813+00:00,2010-07-19 18:30:00+00:00,2010-07-20 18:30:00+00:00,1692711058000,1692710767840,,,
499056189771511127,140793,248,248,248,CLOSED,5379327319334137665,7158459355840076639,758182417509032721,"""null""",1970-01-01 00:00:00+00:00,2023-10-11 10:21:12.154733+00:00,2010-09-04 18:30:00+00:00,2010-09-05 18:30:00+00:00,1697020263000,1697019672155,CUTOFF,,
