id,created_at,updated_at,loan_detail_id,request_id,request_type,state,rejection_code,reject_reason,body,header,tenant_id,attributes,vbo_id,_load_ts_ms,cdc_source_ts_ms,cdc_op
83b83d6b-a7d3-40b0-8b8b-3d0ec478065b,2022-09-01 06:39:42.439000+00:00,2022-09-01 06:39:42.439000+00:00,3ef04c58-c639-4922-877f-935d8ebbdd20,request-00317,loanCancellation,New,,,"{""source"":""ruby"",""remarks"":""loan creation by mistake"",""bookTime"":1644923997000,""loanType"":""merchantEMI"",""tenantID"":140793.0,""requestID"":""request-00317"",""valueTime"":1644923997000,""reasonCode"":""EM-LOAN-CANCEL"",""requestType"":""LOAN_CANCELLATION"",""loanAccountID"":""734a31dc-de79-42d1-a27f-b7867c7e499f"",""transactionIds"":[""20220811090507512_20422_00efwfunerefeewwdfm2.0""],""accountHolderId"":""42e421e9-3dc7-4e29-b552-694303706d68"",""sourceAccountID"":""6929544f-e648-4f75-abfa-63186b8b026d"",""loanConversionId"":""3ef04c58-c639-4922-877f-935d8ebbdd20"",""processTillState"":""ACCEPTED"",""loanAccountHolderName"":""refund e2e demo loan account""}",,140793,,,1684488959000,1684485961052,
e13767e6-3a55-4d44-b02c-b66e497dc4d0,2022-09-01 07:11:07.996000+00:00,2022-09-01 07:11:47.084000+00:00,3ef04c58-c639-4922-877f-935d8ebbdd20,request-00322,loanCancellation,Rejected,,Annotation missing loan for transaction-id 20220811090507512_20422_00efwfunerefeewwdfm2.0,"{""source"":""ruby"",""remarks"":""loan creation by mistake"",""bookTime"":1644923997000,""loanType"":""merchantEMI"",""tenantID"":140793.0,""requestID"":""request-00322"",""valueTime"":1644923997000,""reasonCode"":""EM-LOAN-CANCEL"",""requestType"":""LOAN_CANCELLATION"",""loanAccountID"":""734a31dc-de79-42d1-a27f-b7867c7e499f"",""transactionIds"":[""20220811090507512_20422_00efwfunerefeewwdfm2.0""],""accountHolderId"":""42e421e9-3dc7-4e29-b552-694303706d68"",""sourceAccountID"":""6929544f-e648-4f75-abfa-63186b8b026d"",""loanConversionId"":""3ef04c58-c639-4922-877f-935d8ebbdd20"",""processTillState"":""ACCEPTED"",""loanAccountHolderName"":""refund e2e demo loan account""}",,140793,,,1684488959000,1684485961054,
96de7aff-fa9c-40cd-a2c3-bae00cc9a24d,2022-09-01 07:13:02.576000+00:00,2022-09-01 07:13:06.603000+00:00,3ef04c58-c639-4922-877f-935d8ebbdd20,request-00323,loanCancellation,Rejected,,Loan Account cannot be cancelled as the current status does not support,"{""source"":""ruby"",""remarks"":""loan creation by mistake"",""bookTime"":1644923997000,""loanType"":""merchantEMI"",""tenantID"":140793.0,""requestID"":""request-00323"",""valueTime"":1644923997000,""reasonCode"":""EM-LOAN-CANCEL"",""requestType"":""LOAN_CANCELLATION"",""loanAccountID"":""734a31dc-de79-42d1-a27f-b7867c7e499f"",""transactionIds"":[""20220811090507512_20422_00efwfunerefeewwdfm2.0""],""accountHolderId"":""42e421e9-3dc7-4e29-b552-694303706d68"",""sourceAccountID"":""6929544f-e648-4f75-abfa-63186b8b026d"",""loanConversionId"":""3ef04c58-c639-4922-877f-935d8ebbdd20"",""processTillState"":""ACCEPTED"",""loanAccountHolderName"":""refund e2e demo loan account""}",,140793,,,1684488959000,1684485961056,
39f69890-932b-453e-996d-d273bc6b1c8e,2022-09-01 07:21:18.375000+00:00,2022-09-01 07:21:20.153000+00:00,0b571c08-5976-4d3a-8931-e52836dcacc2,requestId_sep1_2,loanPreclosure,Rejected,,"{""code"":""VALIDATION_FAILURE"",""errorType"":null,""description"":""Cannot do pre-closure before lock-in period (3 months)."",""circumvention"":null}","{""remarks"":""Praveen Initiating Loan preClosure for aion testing"",""bookTime"":1662016878311,""tenantID"":140793.0,""requestID"":""requestId_sep1_2"",""valueTime"":1662016878311,""attributes"":{},""loanDetails"":{""id"":""0b571c08-5976-4d3a-8931-e52836dcacc2"",""source"":""ruby"",""loan_type"":""merchantEMI"",""tenant_id"":140793.0,""transaction_ids"":[""20220603100504619_2164_Aion_test_place_hold_June_3_clearance_1.0""],""account_holder_id"":""36bd219a-93f0-4625-8957-d5987532ede5"",""loan_account_name"":""May20_aion_loan_ank"",""source_account_id"":""5c8bef2f-1b9b-43c1-a232-566954a8984c"",""emerald_account_id"":""f004a8bc-36f3-4e8a-9f7a-a0d82bfdcb90""},""requestType"":""LOAN_PRECLOSURE"",""loanAccountID"":""f004a8bc-36f3-4e8a-9f7a-a0d82bfdcb90"",""processTillState"":""ACCEPTED""}",,140793,,,1684488959000,1684485961055,
741867d0-89f4-4922-aafd-5fbe736ea96b,2022-09-01 13:03:52.725000+00:00,2022-09-01 13:03:57.099000+00:00,,test23312121214,loanConversion,Rejected,,Loan amount should be between 1000.0 and 1000000.0,"{""source"":""ruby"",""loanType"":""merchantEMI"",""tenantID"":140793.0,""requestID"":""test23312121214"",""attributes"":{""loanValueDate"":""2022-02-11"",""processingFee"":100.0,""loanBookingDate"":""2022-02-11""},""requestType"":""LOAN_CONVERSION"",""rateOfInterest"":10.3,""transactionIds"":[""20220901130255031_987_1662037374""],""loanAccountName"":""May20_aion_loan_ank"",""sourceAccountID"":""8a4a4228-078f-4727-90a8-bf4d36d7b2ab"",""processTillState"":""ACCEPTED"",""subventionAmount"":200.0,""numOfInstallments"":3.0}",,140793,,,1684488959000,1684485961105,
1ad127c1-4e73-4ed6-ae1c-206b3b353e44,2022-09-01 17:53:30.687000+00:00,2022-09-01 17:53:30.848000+00:00,9aaccfb8-4994-4c82-beed-1162475b7fbf,requestId_sep1_7,loanPreclosure,Rejected,,"{""code"":""VALIDATION_FAILURE"",""errorType"":null,""description"":""Account is not in active status"",""circumvention"":null}","{""remarks"":""Praveen Initiating Loan preClosure for aion testing"",""bookTime"":1662054810680,""tenantID"":140793.0,""requestID"":""requestId_sep1_7"",""valueTime"":1662054810680,""attributes"":{},""loanDetails"":{""id"":""9aaccfb8-4994-4c82-beed-1162475b7fbf"",""source"":""ruby"",""loan_type"":""merchantEMI"",""tenant_id"":140793.0,""transaction_ids"":[""20220604103330658_10678_Aion_test_place_hold_June_4_conversion_clearance_2.0""],""account_holder_id"":""9a57c6db-145b-4024-9a74-064b0549538e"",""loan_account_name"":""June4_aion_loan_ank"",""source_account_id"":""6a73ff3d-78b3-4048-9202-fea28a067d78"",""emerald_account_id"":""19bb0488-2a38-4382-9587-0cbeed99d278""},""requestType"":""LOAN_PRECLOSURE"",""loanAccountID"":""19bb0488-2a38-4382-9587-0cbeed99d278"",""processTillState"":""ACCEPTED""}",,140793,,,1684488959000,1684485961307,
3f701929-b980-416d-8785-8f228aa751f4,2022-09-01 17:54:32.171000+00:00,2022-09-01 17:54:38.193000+00:00,05a668ef-385c-4125-99f8-7715508689b9,requestId_sep1_11,loanPreclosure,loanProcessed,,,"{""remarks"":""Praveen Initiating Loan preClosure for aion testing"",""bookTime"":1662054872164,""tenantID"":140793.0,""requestID"":""requestId_sep1_11"",""valueTime"":1662054872164,""attributes"":{},""loanDetails"":{""id"":""05a668ef-385c-4125-99f8-7715508689b9"",""source"":""ruby"",""loan_type"":""merchantEMI"",""tenant_id"":140793.0,""transaction_ids"":[""20220606105455980_26541_Aion_test_place_hold_June_6_testconversion_clearance_3.0""],""account_holder_id"":""9a57c6db-145b-4024-9a74-064b0549538e"",""loan_account_name"":""June4_aion_loan_ank"",""source_account_id"":""0a70b88c-9636-40f3-a172-f5281d819940"",""emerald_account_id"":""f619e68a-2cce-4afc-ab51-2b179636daf4""},""requestType"":""LOAN_PRECLOSURE"",""loanAccountID"":""f619e68a-2cce-4afc-ab51-2b179636daf4"",""processTillState"":""ACCEPTED""}",,140793,,,1684488959000,1684485961307,
d863e3ba-57ae-4624-bb18-2e828933d07f,2022-09-02 06:42:21.071000+00:00,2022-09-02 06:42:28.718000+00:00,3ef04c58-c639-4922-877f-935d8ebbdd20,request-00330,loanCancellation,Rejected,,Annotation missing loan for transaction-id 20220811090507512_20422_00efwfunerefeewwdfm2.0,"{""source"":""ruby"",""remarks"":""loan creation by mistake"",""bookTime"":1644923997000,""loanType"":""merchantEMI"",""tenantID"":140793.0,""requestID"":""request-00330"",""valueTime"":1644923997000,""reasonCode"":""EM-LOAN-CANCEL"",""requestType"":""LOAN_CANCELLATION"",""loanAccountID"":""734a31dc-de79-42d1-a27f-b7867c7e499f"",""transactionIds"":[""20220811090507512_20422_00efwfunerefeewwdfm2.0""],""accountHolderId"":""42e421e9-3dc7-4e29-b552-694303706d68"",""sourceAccountID"":""6929544f-e648-4f75-abfa-63186b8b026d"",""loanConversionId"":""3ef04c58-c639-4922-877f-935d8ebbdd20"",""processTillState"":""ACCEPTED"",""loanAccountHolderName"":""refund e2e demo loan account""}",,140793,,,1684488959000,1684485961310,
b61ffcf2-15cc-4c9b-922f-4ba14514e71d,2022-09-02 07:05:19.144000+00:00,2022-09-02 07:05:19.421000+00:00,9aaccfb8-4994-4c82-beed-1162475b7fbf,requestId_sep2_3,loanPreclosure,Rejected,,"{""code"":""VALIDATION_FAILURE"",""errorType"":null,""description"":""Account is not in active status"",""circumvention"":null}","{""remarks"":""Praveen Initiating Loan preClosure for aion testing"",""bookTime"":1662102319135,""tenantID"":140793.0,""requestID"":""requestId_sep2_3"",""valueTime"":1662102319135,""attributes"":{},""loanDetails"":{""id"":""9aaccfb8-4994-4c82-beed-1162475b7fbf"",""source"":""ruby"",""loan_type"":""merchantEMI"",""tenant_id"":140793.0,""transaction_ids"":[""20220604103330658_10678_Aion_test_place_hold_June_4_conversion_clearance_2.0""],""account_holder_id"":""9a57c6db-145b-4024-9a74-064b0549538e"",""loan_account_name"":""June4_aion_loan_ank"",""source_account_id"":""6a73ff3d-78b3-4048-9202-fea28a067d78"",""emerald_account_id"":""19bb0488-2a38-4382-9587-0cbeed99d278""},""requestType"":""LOAN_PRECLOSURE"",""loanAccountID"":""19bb0488-2a38-4382-9587-0cbeed99d278"",""processTillState"":""ACCEPTED""}",,140793,,,1684488959000,1684485961310,
520278f8-3712-4f54-ab27-b519c98650e2,2022-09-02 07:12:32.969000+00:00,2022-09-02 07:12:33.058000+00:00,ee88aeda-1004-4482-914c-44d27c2cf87f,requestId_sep2_10,loanPreclosure,Rejected,,"{""code"":""VALIDATION_FAILURE"",""errorType"":null,""description"":""Cannot do pre-closure before lock-in period (3 months)."",""circumvention"":null}","{""remarks"":""Praveen Initiating Loan preClosure for aion testing"",""bookTime"":1662102752955,""tenantID"":140793.0,""requestID"":""requestId_sep2_10"",""valueTime"":1662102752955,""attributes"":{},""loanDetails"":{""id"":""ee88aeda-1004-4482-914c-44d27c2cf87f"",""source"":""ruby"",""loan_type"":""merchantEMI"",""tenant_id"":140793.0,""transaction_ids"":[""20220609063334668_1028_Aion_test_place_hold_Jun10004_3_clearance_09.0""],""account_holder_id"":""a688e98a-73e1-478b-8484-e9fdf0932d8b"",""loan_account_name"":""Jun10007_aion_loan_ank"",""source_account_id"":""7cdf5cb0-0e90-4ad1-8c8d-35a05c1a0b26"",""emerald_account_id"":""e303d5f8-4421-4544-8307-d4373bc0d8e8""},""requestType"":""LOAN_PRECLOSURE"",""loanAccountID"":""e303d5f8-4421-4544-8307-d4373bc0d8e8"",""processTillState"":""ACCEPTED""}",,140793,,,1684488959000,1684485961311,
