id,code,name,description,object_type,sandbox_object_type,sandbox_action,created_at,updated_at,updated_by,deleted,attributes,_load_ts_ms,cdc_source_ts_ms,cdc_op
67,REWARD_ACCRUAL_TEST_DEMOOO,REWARD_ACCRUAL_TEST_DEMOOO,The restricted action will restrict users from doing rewards accrual,in.zeta.cipher.t,luminos_rewards_issuance,rewardAccrual,2023-07-26 10:40:04.152660+00:00,2023-07-26 10:40:04.152660+00:00,v5fCSGXLV_YKZa4KNfELJw==@authProfile.0-admin.India/675,False,"{""key1"":""value3"",""key2"":""value1""}",1691602791000,1691602286840,
68,REWARD_ACCRUAL_TEST_DEMOO,REWARD_ACCRUAL_TEST_DEMOO,This restricted action will restrict users from doing rewards accrual,in.zeta.cipher.t,luminos_rewards_issuance,rewardAccrual,2023-07-26 14:41:29.314764+00:00,2023-07-26 14:42:22.664020+00:00,anon@zetauser.zeta.in,False,"{""key1"":""value3"",""key2"":""value1""}",1691602791000,1691602286840,
10,ANNUAL_FEE,Annual Fee,Annual Fee Restricted Action,in.zeta.aether.bundle,ledger,charge.membershipFees.apply,2023-01-04 17:15:56.752666+00:00,2023-08-11 07:36:05.218436+00:00,v5fCSGXLV_YKZa4KNfELJw==@authProfile.0-admin.India/704,False,"{""key1"":""value1"",""key2"":""value2""}",1691739744000,1691739365220,
9,JOINING_FEE,Joining Fee,Joining Fee Restricted Action,in.zeta.aether.bundle,ledger,charge.membershipFees.apply,2023-01-04 17:14:56.389911+00:00,2023-08-11 07:36:05.272494+00:00,v5fCSGXLV_YKZa4KNfELJw==@authProfile.0-admin.India/704,False,{},1691739744000,1691739365273,
56,REISSUE_CARD,Card Reissuance,Card Reissuance Restricted Action,in.zeta.aether.bundle,bundleIssuance,bundle.issue.reissueCard,2023-06-08 12:33:41.218238+00:00,2023-08-11 07:36:05.275194+00:00,v5fCSGXLV_YKZa4KNfELJw==@authProfile.0-admin.India/704,False,{},1691739744000,1691739365275,
63,LIMIT_ENHANCEMENT,Limit Enhancement,Limit Enhancement Restricted Action,in.zeta.aether.bundle,ruby_account_v2,api.tachyon.ruby.account.updateLimit,2023-07-26 02:03:47.106571+00:00,2023-08-11 07:36:05.279381+00:00,v5fCSGXLV_YKZa4KNfELJw==@authProfile.0-admin.India/704,False,{},1691739744000,1691739365279,
57,RENEW_CARD,Card Renewal,Card Renewal Restricted Action,in.zeta.aether.bundle,bundleIssuance,bundle.issue.renewCard,2023-06-08 12:34:50.333586+00:00,2023-08-11 07:36:05.378741+00:00,v5fCSGXLV_YKZa4KNfELJw==@authProfile.0-admin.India/704,False,{},1691739744000,1691739365378,
16,CARD_PURCHASE_PLACE_HOLD,Card Purchase Place Hold,Card Purchase Place Hold Restricted Action,in.zeta.aether.bundle,ledger,voucherCode.CARD_PURCHASE_PLACE_HOLD.allowTransactions,2023-01-05 06:05:30.886081+00:00,2023-08-11 07:36:05.573030+00:00,v5fCSGXLV_YKZa4KNfELJw==@authProfile.0-admin.India/704,False,{},1691739744000,1691739365573,
7,LATE_PAYMENT_FEE,Late Payment Fee,Late Payment Fee Restricted Action,in.zeta.aether.bundle,ledger,charge.latePaymentFee.apply,2023-01-04 17:12:19.705519+00:00,2023-08-11 07:36:05.575983+00:00,v5fCSGXLV_YKZa4KNfELJw==@authProfile.0-admin.India/704,False,{},1691739744000,1691739365576,
38,LIMIT_DECREASE,Limit Decrease,Limit Decrease Restricted Action,in.zeta.aether.bundle,ruby_account_v2,api.tachyon.ruby.account.limit.decrease,2023-04-14 08:11:37.354461+00:00,2023-08-11 07:36:05.576631+00:00,v5fCSGXLV_YKZa4KNfELJw==@authProfile.0-admin.India/704,False,{},1691739744000,1691739365576,
