id,ifi,policy_version_id,action,allowed_txn_categories,disallowed_txn_categories,allowed_time_slices,disallowed_time_slices,error_code,created_at,updated_at,_load_ts_ms,category_code,cdc_source_ts_ms,cdc_op
433630,140793,1259180972396001388,DEBIT,[],[],[],[],SPEND_CATEGORY_DISABLED,2023-04-10 06:08:23.284896+00:00,2023-04-10 06:08:23.284896+00:00,1687279897000,,1687279047189,
448391,600309,5510145232114483435,DEBIT,[],"[""DOMESTIC_ECOM_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS"",""DOMESTIC_CONTACTLESS_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_POS_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_ECOM_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_ATM_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_CONTACTLESS_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS""]",[],[],SPEND_CATEGORY_DISABLED,2023-09-27 06:37:01.700198+00:00,2023-09-27 06:37:01.700198+00:00,1695796974000,,1695796621711,
448418,600309,365788917848413694,DEBIT,[],"[""DOMESTIC_ECOM_ae15ce50-eed9-43ef-a9b2-12212b48234c_PC_CARD_SPENDLIMITS"",""DOMESTIC_CONTACTLESS_ae15ce50-eed9-43ef-a9b2-12212b48234c_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_POS_ae15ce50-eed9-43ef-a9b2-12212b48234c_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_ECOM_ae15ce50-eed9-43ef-a9b2-12212b48234c_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_ATM_ae15ce50-eed9-43ef-a9b2-12212b48234c_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_CONTACTLESS_ae15ce50-eed9-43ef-a9b2-12212b48234c_PC_CARD_SPENDLIMITS""]",[],[],SPEND_CATEGORY_DISABLED,2023-09-27 07:23:26.669035+00:00,2023-09-27 07:23:26.669035+00:00,1695799720000,,1695799406682,
448419,600309,5504391852648546607,DEBIT,[],"[""DOMESTIC_ECOM_29d5aa16-19a9-4a5c-bbbb-cb1a2b18562f_PC_CARD_SPENDLIMITS"",""DOMESTIC_CONTACTLESS_29d5aa16-19a9-4a5c-bbbb-cb1a2b18562f_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_POS_29d5aa16-19a9-4a5c-bbbb-cb1a2b18562f_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_ECOM_29d5aa16-19a9-4a5c-bbbb-cb1a2b18562f_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_ATM_29d5aa16-19a9-4a5c-bbbb-cb1a2b18562f_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_CONTACTLESS_29d5aa16-19a9-4a5c-bbbb-cb1a2b18562f_PC_CARD_SPENDLIMITS""]",[],[],SPEND_CATEGORY_DISABLED,2023-09-27 07:23:41.241086+00:00,2023-09-27 07:23:41.241086+00:00,1695799720000,,1695799421251,
448424,600309,1980664736500037179,DEBIT,[],"[""DOMESTIC_ECOM_df18344a-8b89-48bb-b67d-b3c80b313664_PC_CARD_SPENDLIMITS"",""DOMESTIC_CONTACTLESS_df18344a-8b89-48bb-b67d-b3c80b313664_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_POS_df18344a-8b89-48bb-b67d-b3c80b313664_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_ECOM_df18344a-8b89-48bb-b67d-b3c80b313664_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_ATM_df18344a-8b89-48bb-b67d-b3c80b313664_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_CONTACTLESS_df18344a-8b89-48bb-b67d-b3c80b313664_PC_CARD_SPENDLIMITS""]",[],[],SPEND_CATEGORY_DISABLED,2023-09-27 07:25:36.233696+00:00,2023-09-27 07:25:36.233696+00:00,1695800026000,,1695799536281,
448426,600309,4980924322892735811,DEBIT,[],"[""DOMESTIC_ECOM_2b2183d7-c1f4-4ebf-9163-e33c31fabcba_PC_CARD_SPENDLIMITS"",""DOMESTIC_CONTACTLESS_2b2183d7-c1f4-4ebf-9163-e33c31fabcba_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_POS_2b2183d7-c1f4-4ebf-9163-e33c31fabcba_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_ECOM_2b2183d7-c1f4-4ebf-9163-e33c31fabcba_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_ATM_2b2183d7-c1f4-4ebf-9163-e33c31fabcba_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_CONTACTLESS_2b2183d7-c1f4-4ebf-9163-e33c31fabcba_PC_CARD_SPENDLIMITS""]",[],[],SPEND_CATEGORY_DISABLED,2023-09-27 07:26:18.414497+00:00,2023-09-27 07:26:18.414497+00:00,1695800026000,,1695799578421,
449081,600309,1653830280340710880,DEBIT,[],"[""DOMESTIC_CONTACTLESS_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_POS_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_ECOM_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_ATM_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_CONTACTLESS_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS""]",[],[],SPEND_CATEGORY_DISABLED,2023-09-27 10:38:04.128070+00:00,2023-09-27 10:38:04.128070+00:00,1695811367000,,1695811084133,
449084,600309,7718735162807106953,DEBIT,[],"[""INTERNATIONAL_POS_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_ECOM_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_ATM_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_CONTACTLESS_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS""]",[],[],SPEND_CATEGORY_DISABLED,2023-09-27 10:38:17.088380+00:00,2023-09-27 10:38:17.088380+00:00,1695811367000,,1695811097097,
449088,600309,3706471082471212505,DEBIT,[],"[""INTERNATIONAL_ECOM_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_CONTACTLESS_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS""]",[],[],SPEND_CATEGORY_DISABLED,2023-09-27 10:38:32.296893+00:00,2023-09-27 10:38:32.296893+00:00,1695811367000,,1695811112302,
449090,600309,31497626814542199,DEBIT,[],"[""INTERNATIONAL_CONTACTLESS_e48fc064-e194-4dee-81ab-7eba66678915_PC_CARD_SPENDLIMITS""]",[],[],SPEND_CATEGORY_DISABLED,2023-09-27 10:38:38.970882+00:00,2023-09-27 10:38:38.970882+00:00,1695811367000,,1695811118976,
449092,600309,4962033206206666525,DEBIT,[],[],[],[],SPEND_CATEGORY_DISABLED,2023-09-27 10:38:54.569211+00:00,2023-09-27 10:38:54.569211+00:00,1695811367000,,1695811134575,
449622,600309,513232838362460171,DEBIT,[],"[""INTERNATIONAL_ECOM_c3c6ff2e-d753-4035-8bf3-09d167d815c1_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_ATM_c3c6ff2e-d753-4035-8bf3-09d167d815c1_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_CONTACTLESS_c3c6ff2e-d753-4035-8bf3-09d167d815c1_PC_CARD_SPENDLIMITS""]",[],[],SPEND_CATEGORY_DISABLED,2023-09-29 07:51:35.237704+00:00,2023-09-29 07:51:35.237704+00:00,1695974141000,,1695973895241,
449625,600309,7670844840256349264,DEBIT,[],"[""INTERNATIONAL_ECOM_c3c6ff2e-d753-4035-8bf3-09d167d815c1_PC_CARD_SPENDLIMITS"",""INTERNATIONAL_CONTACTLESS_c3c6ff2e-d753-4035-8bf3-09d167d815c1_PC_CARD_SPENDLIMITS""]",[],[],SPEND_CATEGORY_DISABLED,2023-09-29 07:51:55.431964+00:00,2023-09-29 07:51:55.431964+00:00,1695974141000,,1695973915435,
449628,600309,8670686811307365982,DEBIT,[],[],[],[],SPEND_CATEGORY_DISABLED,2023-09-29 07:52:16.463668+00:00,2023-09-29 07:52:16.463668+00:00,1695974341000,,1695973936467,
