ledgerid,lastpostingid,lasttransactionid,lastreceipthash,currentbalance,createdat,lastupdatedat,_load_ts_ms,cdc_source_ts_ms,cdc_op
5976057703490114368,777028,20231130051739821_6068_revert_310286000115_310286000115_5c212c5f-e45a-4b8d-ba35-6a3e23acc3a1,WK51Yg==,0,2023-11-08 08:05:59.728592+00:00,2023-11-30 05:17:39.968523+00:00,1701321981000,1701321460180,u
1546805036147943157,510218,20230619105758000_UpdateState_1bbe5554-1793-49df-87cf-5694ae330264,jCQr+Q==,105766882,2023-04-25 18:00:24.127832+00:00,2023-06-19 10:57:58.176497+00:00,1690797382000,1690795766677,
3188596155460517602,836506,20231122110501353_UpdateState_02bad2d0-c2a8-47d5-8069-b53568c92de5,zkFgVA==,0,2023-09-27 07:25:17.965603+00:00,2023-11-22 11:05:01.569894+00:00,1700654296000,1700651101636,
3355845198898976559,798670,20231129103415437_11_revert_310162001172_310162001172_bfb84bcc-503b-4599-9651-db1a110a067e,4DXUrg==,0,2023-09-27 07:27:32.421142+00:00,2023-11-29 10:34:15.987079+00:00,1701254518000,1701254056241,u
8464772162213840672,461163,20230619105617597_UpdateState_e69bf9c5-d504-49ce-906e-548c5829da39,QRwK+g==,614932588,2023-05-11 07:34:51.783277+00:00,2023-06-19 10:56:18.089584+00:00,1690797410000,1690795809280,
8932876658350475071,939763,20230619105619163_UpdateState_dd71bc42-a45b-488a-8ef1-7e8b1d2a5b78,tIF7DA==,1002264677,2023-05-11 07:26:23.564161+00:00,2023-06-19 10:56:19.383643+00:00,1690797410000,1690795812032,
1302720797640509081,791975,20231130113235153_35_revert_310290000083_310290000083_6d897bc3-8ca9-4701-89b3-7aee55eac416,dk1RSw==,0,2023-11-08 08:05:27.227855+00:00,2023-11-30 11:32:35.267088+00:00,1701344705000,1701343955475,u
1088644771886435437,273021,20231126002350997_3394_revert_309895000146_309895000146_71895f1f-b8c4-4e0a-a32c-bc37879a75c5,93th6Q==,0,2023-09-27 07:25:58.616884+00:00,2023-11-26 00:23:51.314064+00:00,1700958875000,1700958231577,u
1638067862578547513,925921,20231128002439265_1288_revert_310041000063_310041000063_d0be6cec-16a5-493f-9757-bff9d58c2a19,DiIceA==,0,2023-09-27 07:23:37.500951+00:00,2023-11-28 00:24:39.523506+00:00,1701131471000,1701131079745,u
3715501910209054676,293274,20230612142013347_64192@ledger.services.olympus_6ow+8Q==,ck6IuA==,90160805,2023-03-20 08:46:51.728293+00:00,2023-06-12 14:20:13.533045+00:00,1690797382000,1690795780631,
4843275305682120582,751859,20231126012640477_1710_revert_309898000537_309898000537_881e91e0-1308-433e-8669-9e490031fe94,UIGCOA==,0,2023-11-08 08:09:52.428649+00:00,2023-11-26 01:26:40.818891+00:00,1700962542000,1700962001245,u
5893434542390432061,833399,20231130053343431_6078_revert_310284000233_310284000233_35eb23a9-a37f-4b78-a00e-9d1b52c0016e,aERIrg==,82820,2023-11-08 08:05:43.444798+00:00,2023-11-30 05:33:43.514611+00:00,1701322978000,1701322423676,u
8773381433303773518,234792,20231130064149030_3714_55df6fac-bc49-4cbf-8899-c2542d6f3e09,Ur3DTw==,113703,2023-09-27 07:28:35.209076+00:00,2023-11-30 06:41:49.080571+00:00,1701326986000,1701326509088,u
121823356002057508,888241,20231013070246884_UpdateState_8421db05-13df-4892-9038-599607136948,NDYwKA==,621100,2023-09-29 04:55:26.623942+00:00,2023-10-13 07:02:47.122845+00:00,1697181169000,1697180567355,
2071575545695179876,470317,20231129233922797_2735_07d1cd97-9a90-4bc0-9793-235cfcb73e2e,wQ2vLA==,-32692,2023-11-08 08:04:18.063725+00:00,2023-11-29 23:39:22.840310+00:00,1701301624000,1701301162844,u
6147642650524146707,529508,20230619105612349_UpdateState_a07ab4a3-b6fe-435f-9628-cb9e6bd579ee,PxpGpQ==,923531482,2023-05-11 07:36:11.723189+00:00,2023-06-19 10:56:12.673806+00:00,1690797410000,1690795794904,
7239719579359769178,372882,20231126002415630_4782_revert_309896000100_309896000100_b76c2b57-52f8-4243-8615-a1d54430f65e,FbvW0Q==,0,2023-09-27 07:26:14.871351+00:00,2023-11-26 00:24:15.858726+00:00,1700958875000,1700958256128,u
7639948258772203966,962803,20231122110534386_UpdateState_53d724ed-cf79-4568-ab5f-3bd4f98d257a,+cs8dQ==,0,2023-09-27 07:27:12.096744+00:00,2023-11-22 11:05:34.590758+00:00,1700654296000,1700651134627,
8928540575366112973,181741,20231122110506543_UpdateState_f0c16d43-e858-47be-939f-692f193e6f2e,sJC4mA==,0,2023-09-27 07:29:33.195566+00:00,2023-11-22 11:05:06.723947+00:00,1700654296000,1700651106779,
3217399714349980281,113197,20231203125822204_19594_310995001206_CAPTURE,vv5oDQ==,5014584,2023-11-08 08:18:31.815672+00:00,2023-12-03 12:58:22.368830+00:00,1701608750000,1701608302738,u
