tenantid,id,paymentaccountproductid,status,createdat,modifiedat,providedaccountschemauri,rowid,_load_ts_ms,cdc_source_ts_ms,attributes,providedaccount,cdc_op
140793,30c8cf87-8a62-4967-aa37-dd445ff12ea2,059c6f52-ae9d-4cf3-8b39-32920ea39db6,ACTIVE,2022-01-12 13:16:30.875496+00:00,2022-01-12 13:16:30.875496+00:00,schema://subjects/id-data-schema/versions/1,17775,1679404482000,,{},"{""id"":""user-populated-by-accounting-system@internal.zeta.in"",""data"":{}}",
140793,e474a990-e0f6-41ab-8aca-34a33edd4dd0,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-01 12:16:11.613676+00:00,2022-03-01 12:16:11.613676+00:00,schema://subjects/id-data-schema/versions/1,17928,1679404482000,,{},"{""id"":""8065152739607973799"",""data"":{""coaID"":""1670706735183594041""}}",
140793,89705aec-b8c6-487d-97f3-32de9c7c0e89,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-01 12:18:51.453331+00:00,2022-03-01 12:18:51.453331+00:00,schema://subjects/id-data-schema/versions/1,17985,1679404482000,,{},"{""id"":""1347686085613987687"",""data"":{""coaID"":""1670706735183594041""}}",
140793,97f716d6-4467-462d-84d9-3495e8639ecd,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-01 12:20:48.086330+00:00,2022-03-01 12:20:48.086330+00:00,schema://subjects/id-data-schema/versions/1,18533,1679404482000,,{},"{""id"":""2088574322064081610"",""data"":{""coaID"":""1670706735183594041""}}",
140793,f851731e-46c4-4056-8a50-66a57c4ce6eb,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-01 12:25:33.637010+00:00,2022-03-01 12:25:33.637010+00:00,schema://subjects/id-data-schema/versions/1,19118,1679404482000,,{},"{""id"":""3334454937674989639"",""data"":{""coaID"":""1670706735183594041""}}",
140793,13217d55-0665-45b9-9762-febc97d70704,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-04 13:13:26.068989+00:00,2022-03-04 13:13:26.068989+00:00,schema://subjects/id-data-schema/versions/1,21109,1679404482000,,{},"{""id"":""6005843694123951188"",""data"":{""coaID"":""1670706735183594041""}}",
140793,2593eda5-c06f-4a0b-95b4-d83afc870313,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-07 13:32:35.638119+00:00,2022-03-07 13:32:35.638119+00:00,schema://subjects/id-data-schema/versions/1,21655,1679404482000,,{},"{""id"":""1095990638748209771"",""data"":{""coaID"":""1670706735183594041""}}",
140793,2993a87b-5f2b-4850-9b69-80b76403beeb,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-08 15:13:20.752781+00:00,2022-03-08 15:13:20.752781+00:00,schema://subjects/id-data-schema/versions/1,33342,1679404482000,,{},"{""id"":""5514730141906209669"",""data"":{""coaID"":""1670706735183594041""}}",
140793,75066114-11de-4944-8335-a67aa41e71ab,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-08 15:21:56.634918+00:00,2022-03-08 15:21:56.634918+00:00,schema://subjects/id-data-schema/versions/1,33584,1679404482000,,{},"{""id"":""8455861189171489116"",""data"":{""coaID"":""1670706735183594041""}}",
140793,3a3ad2bf-171b-40b0-b086-f3aaee398fcc,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-09 04:34:28.101749+00:00,2022-03-09 04:34:28.101749+00:00,schema://subjects/id-data-schema/versions/1,33589,1679404482000,,{},"{""id"":""8221977667650067856"",""data"":{""coaID"":""1670706735183594041""}}",
140793,a4573efb-f9ee-462a-851e-52578a993355,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-10 05:46:46.811647+00:00,2022-03-10 05:46:46.811647+00:00,schema://subjects/id-data-schema/versions/1,20000,1679404482000,,{},"{""id"":""7680918544632065101"",""data"":{""coaID"":""1670706735183594041""}}",
140793,045e052b-80f9-45c8-bdf2-fe8090584f7a,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-10 06:54:50.261526+00:00,2022-03-10 06:54:50.261526+00:00,schema://subjects/id-data-schema/versions/1,25172,1679404482000,,{},"{""id"":""6659445645790656630"",""data"":{""coaID"":""1670706735183594041""}}",
140793,9cd2c784-400d-4c41-9f64-9ee3887e9a98,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-10 11:03:07.660943+00:00,2022-03-10 11:03:07.660943+00:00,schema://subjects/id-data-schema/versions/1,25520,1679404482000,,{},"{""id"":""8543482688365335616"",""data"":{""coaID"":""1670706735183594041""}}",
140793,4064842b-3034-4e04-aae8-57a0885ac1af,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-11 15:37:07.512114+00:00,2022-03-11 15:37:07.512114+00:00,schema://subjects/id-data-schema/versions/1,78514,1679404482000,,{},"{""id"":""5764998660675942561"",""data"":{""coaID"":""1670706735183594041""}}",
140793,b1cecc5a-9585-4a6d-a9c2-d125f5fee8ae,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-14 06:10:00.646932+00:00,2022-03-14 06:10:00.646932+00:00,schema://subjects/id-data-schema/versions/1,82364,1679404482000,,{},"{""id"":""8991806952510683954"",""data"":{""coaID"":""1670706735183594041""}}",
140793,61c65349-dc07-4a24-995c-861bd9b7669f,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-15 07:31:18.820860+00:00,2022-03-15 07:31:18.820860+00:00,schema://subjects/id-data-schema/versions/1,82804,1679404482000,,{},"{""id"":""7268626602036403667"",""data"":{""coaID"":""1670706735183594041""}}",
140793,072c063e-9eef-405c-9b7e-70632d214f80,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-15 09:33:54.733782+00:00,2022-03-15 09:33:54.733782+00:00,schema://subjects/id-data-schema/versions/1,82822,1679404482000,,{},"{""id"":""6459975259461157112"",""data"":{""coaID"":""1670706735183594041""}}",
140793,bd8db242-c7c2-42aa-95cf-f801a24928e3,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-15 10:11:17.097885+00:00,2022-03-15 10:11:17.097885+00:00,schema://subjects/id-data-schema/versions/1,82867,1679404482000,,{},"{""id"":""8978044585873974419"",""data"":{""coaID"":""1670706735183594041""}}",
140793,450278bd-bc45-4393-b9b8-45373dec3c77,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-16 06:00:23.930111+00:00,2022-03-16 06:00:23.930111+00:00,schema://subjects/id-data-schema/versions/1,82995,1679404482000,,{},"{""id"":""7065373924907345148"",""data"":{""coaID"":""1670706735183594041""}}",
140793,6519194d-70e5-48a8-ae0e-a8433f642554,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-16 08:39:01.314997+00:00,2022-03-16 08:39:01.314997+00:00,schema://subjects/id-data-schema/versions/1,83283,1679404482000,,{},"{""id"":""5639604896089467923"",""data"":{""coaID"":""1670706735183594041""}}",
