tenant_id,coa_id,product_id,ledger_id,account_id,transaction_id,request_id,amount_paid,posting_category_attributions,remarks,transaction_time,state,created_at,created_by,updated_at,updated_by,id,status,payment_mode,channel_code,external_reference_number,repayment_attributes,reject_attributes,reversal_attributes,reject_reason_code,reversal_reason_code,repayment_book_time,repayment_value_time,reversal_book_time,reversal_value_time,reject_book_time,reject_value_time,state_transition,reversal_remarks,_load_ts_ms,cdc_op,cdc_source_ts_ms
600309,,,,1d8c8956-1b1e-4273-98ca-e7a41f243c18,,TEST_1701238881,"{""amount"":105900,""currency"":""USD""}",,Repayment Reversals testing,,,2023-12-10 09:48:05.125205+00:00,,2023-12-10 09:48:43.320522+00:00,,9268062b-6fcf-4adb-8ed6-baba5933ef95,REPAYMENT_PROCESSED,CHEQUE,TURBO,PGBD2702202311012231,"{""feeApplicable"":true}","""null""","""null""",,,2006-05-04 07:00:00+00:00,2006-05-02 07:00:00+00:00,,,,,,,1702639194000,r,1702634283736
600309,,,,045f22b8-e480-4e1d-b183-88a26dc2ff64,,TEST_1701238833,"{""amount"":12300,""currency"":""USD""}",,Repayment Reversals testing,,,2023-11-30 10:03:35.541892+00:00,,2023-11-30 10:11:17.764666+00:00,,1626757d-8d04-4cc5-8929-befa98d6ab37,REVERSAL_PROCESSED,CHEQUE,TURBO,PGBD2702202311012231,{},"""null""","{""test1"":""test1""}",,Incorrect Amount,2006-04-21 07:00:00+00:00,2006-04-20 07:00:00+00:00,2006-04-21 07:00:00+00:00,2006-04-21 07:00:00+00:00,,,,,1702639194000,r,1702634283821
600309,,,,7c24315b-83d5-445f-9dff-7349596f0acf,,testing-dfgsdfg-112AWZEA31qm2,"{""amount"":400,""currency"":""INR""}",,Repayment for Jan 2023 Statement,,,2023-11-30 06:22:58.192980+00:00,,2023-11-30 06:29:53.510889+00:00,,ed9a44ca-c20c-4ae9-bb1f-137a8f23cc5e,REPAYMENT_PROCESSED,UPI,BILLDESK,PGBD2702202311012231,"{""faafdfasfa"":""fasfdsaasdf""}","""null""","""null""",,,2006-04-21 07:00:00+00:00,2006-04-21 07:00:00+00:00,,,,,,,1702639194000,r,1702634283822
600309,,,,edac6028-9de3-4a61-b30e-8ccd87b56dd1,,testing-dfgsdfg-112AWZEA31qm20,"{""amount"":700,""currency"":""INR""}",,Repayment for Jan 2023 Statement,,,2023-12-12 09:04:09.823022+00:00,,2023-12-12 09:08:36.751675+00:00,,35fdf15c-6b21-4fc1-a2c2-3d8e8a4ea878,REPAYMENT_PROCESSED,UPI,BILLDESK,PGBD2702202311012231,"{""faafdfasfa"":""fasfdsaasdf""}","""null""","""null""",,,2006-05-08 07:00:00+00:00,2006-05-08 07:00:00+00:00,,,,,,,1702639194000,r,1702634283844
600309,,,,edac6028-9de3-4a61-b30e-8ccd87b56dd1,,testing-dfgsdfg-112AWZEA31qm18,"{""amount"":700,""currency"":""INR""}",,Repayment for Jan 2023 Statement,,,2023-12-11 09:13:29.262515+00:00,,2023-12-11 09:14:38.021751+00:00,,366ec915-091d-4665-b994-8a64c33ef757,REVERSAL_PROCESSED,UPI,BILLDESK,PGBD2702202311012231,"{""faafdfasfa"":""fasfdsaasdf""}","""null""","{""test1"":""test1""}",,Incorrect Amount,2006-05-06 07:00:00+00:00,2006-05-06 07:00:00+00:00,2006-05-06 07:00:00+00:00,2006-05-06 07:00:00+00:00,,,,,1702639194000,r,1702634283935
600309,,,,e4125468-1094-4938-a021-0c735f2d817a,,TEST_1701238885,"{""amount"":55900,""currency"":""USD""}",,Repayment Reversals testing,,,2023-12-11 07:47:26.681680+00:00,,2023-12-11 07:51:26.954626+00:00,,bb1fde0c-0b1d-4056-b3ce-75e42c26c031,REVERSAL_PROCESSED,CHEQUE,TURBO,PGBD2702202311012231,"{""feeApplicable"":true}","""null""","{""test1"":""test1""}",,Incorrect Amount,2006-05-05 07:00:00+00:00,2006-05-02 07:00:00+00:00,2006-05-05 07:00:00+00:00,2006-05-05 07:00:00+00:00,,,,,1702639194000,r,1702634283936
600309,,,,5796381e-2970-4731-9e53-cb8fe6a4db83,,QAtesting1thanks6,"{""amount"":500,""currency"":""INR""}",,Repayment for Jan 2023 Statement2,,,2023-12-11 09:15:40.171583+00:00,,2023-12-11 09:16:41.923362+00:00,,eb39d7ac-4a91-493a-af59-a3314a989eba,REJECTION_PROCESSED,CHEQUE,TURBO,PGBD2702202311012231,"""null""","{""chequedate"":""DD-MM-YYYY"",""instrumentReferenceNo"":""999999""}","""null""",CHEQUE_RETURN_WITHOUT_FEE,,,,,,2006-05-06 07:00:00+00:00,2006-05-06 07:00:00+00:00,,,1702639194000,r,1702634283936
600309,,,,2ee0b936-758a-432a-a7ff-2233665deb37,,TEST_1701238888,"{""amount"":55900,""currency"":""USD""}",,Repayment Reversals testing,,,2023-12-11 11:02:18.126645+00:00,,2023-12-14 07:17:02.987033+00:00,,1fe580fa-a2db-49a4-b686-070591ced481,REVERSAL_PROCESSED,CHEQUE,TURBO,PGBD2702202311012231,"{""feeApplicable"":true}","""null""","{""test1"":""test1""}",,Incorrect Amount,2006-05-06 07:00:00+00:00,2006-05-02 07:00:00+00:00,2006-05-13 07:00:00+00:00,2006-05-13 07:00:00+00:00,,,,,1702639194000,r,1702634284033
600309,,,,85129603-32e8-40a6-89b8-563071eda2c5,,TEST_1702537802,"{""amount"":1167,""currency"":""USD""}",,Repayment Reversals testing,,,2023-12-14 07:39:40.967399+00:00,,2023-12-14 07:39:48.976487+00:00,,9ecc54f3-ece2-4560-8199-822078527587,REPAYMENT_PROCESSED,CHEQUE,TURBO,PGBD2702202311012231,{},"""null""","""null""",,,2006-05-13 07:00:00+00:00,2006-05-07 07:00:00+00:00,,,,,,,1702639194000,r,1702634284033
600309,,,,87033268-1613-4c7a-9fe6-c691e0abbdb3,,TEST_111,"{""amount"":100,""currency"":""USD""}",,Repayment for Mar 2006 Statement,,,2023-11-24 14:19:55.404261+00:00,,2023-11-24 14:19:57.912207+00:00,,174b84b1-5ff9-4dff-9a29-8a4a19d52ccc,REPAYMENT_PROCESSING,UPI,BILLDESK,PGBD2702202311012231,"{""faafdfasfa"":""fasfdsaasdf""}","""null""","""null""",,,2006-04-11 07:00:00+00:00,2006-04-11 07:00:00+00:00,,,,,,,1702639194000,r,1702634284073
