tenantid,walletid,paymentaccountid,status,createdat,modifiedat,rowid,_load_ts_ms,cdc_source_ts_ms,cdc_op
140793,08c33d34-baa0-4421-9a49-f250f731c705,2943bf40-0c50-471f-a88f-97f38a241125,ACTIVE,2022-04-14 06:16:01.742651+00:00,2022-04-14 06:16:01.742651+00:00,20359,1681733816000,,
140793,8998d0cb-b9b6-46cd-b88b-2168602c3d0f,b61fa2d3-eea0-44b0-b50b-47e61e16783c,ACTIVE,2022-03-10 05:44:45.976816+00:00,2022-03-10 05:44:45.976816+00:00,20482,1681733816000,,
140793,16c50716-382d-41dc-8b3f-6b737e39443c,768f58cb-be5a-4d67-9aca-77c349298aa4,ACTIVE,2022-04-14 07:09:36.089637+00:00,2022-04-14 07:09:36.089637+00:00,20493,1681733816000,,
140793,3009883c-1410-42de-9289-6e1cf25dbcfe,303cd763-72e2-402c-a192-b8ad35ae811d,ACTIVE,2022-03-09 17:46:19.079914+00:00,2022-03-09 17:46:19.079914+00:00,20499,1681733816000,,
140793,35a7d597-62bc-485d-9233-50fb7ba9f988,920c6ef3-5b70-4bbf-9b72-b5560436c7a0,ACTIVE,2022-04-14 08:01:22.766894+00:00,2022-04-14 08:01:22.766894+00:00,20762,1681733816000,,
140793,42d87fc5-3741-44b2-824c-8d90e9bc24e5,eea445dd-4e60-4b76-a2c2-51adeb72cd70,ACTIVE,2022-04-14 12:30:23.926629+00:00,2022-04-14 12:30:23.926629+00:00,20767,1681733816000,,
140793,8292f3be-3cf8-4bf2-a82e-f2492c1cdc40,ef473f00-3547-4894-9029-59701ee6ad80,ACTIVE,2022-04-14 12:30:58.725579+00:00,2022-04-14 12:30:58.725579+00:00,21113,1681733816000,,
140793,1d33f1df-50f1-4af8-928e-1a07dd82863e,f80bb1c2-3914-4d0a-8f10-56e77d827de1,ACTIVE,2022-04-14 12:48:13.975945+00:00,2022-04-14 12:48:13.975945+00:00,21957,1681733816000,,
140793,4df3dacb-122f-46b0-91dd-96b36ffc309a,7e9b1c7d-26a5-43b4-beda-ac6f70dd3956,ACTIVE,2022-04-14 12:50:36.442136+00:00,2022-04-14 12:50:36.442136+00:00,21967,1681733816000,,
140793,6f15ed3a-63a1-4fbb-b268-105228270e94,2acf36f5-70d1-4754-84ff-3cecf7e4c1ba,ACTIVE,2022-04-14 14:29:23.809784+00:00,2022-04-14 14:29:23.809784+00:00,21969,1681733816000,,
140793,b7966535-6242-4b52-bd4b-835539f58f0a,27c5aec8-957a-4bf2-9b56-0ca8f3e44684,ACTIVE,2022-04-14 12:48:49.405639+00:00,2022-04-14 12:48:49.405639+00:00,22130,1681733816000,,
140793,b102f83f-5c8c-44aa-9685-01c523234958,6d0b0f1c-532e-40d3-8999-12c34f0a396a,ACTIVE,2022-04-14 14:02:14.315184+00:00,2022-04-14 14:02:14.315184+00:00,22133,1681733816000,,
140793,c8afb6b8-d827-4d6d-8292-930f9ce8c9d1,806db9f2-9554-4e7c-93fe-3602c25cc57a,ACTIVE,2022-04-14 14:06:52.918316+00:00,2022-04-14 14:06:52.918316+00:00,22134,1681733816000,,
140793,c930274d-1a02-49db-b8a0-e5fc0d002258,00e063f0-1a91-4e06-8384-a9c4f27f700d,ACTIVE,2022-04-16 18:17:38.303691+00:00,2022-04-16 18:17:38.303691+00:00,22139,1681733816000,,
140793,5c4dda8f-2bac-4100-b228-39a2bac037e9,1053b0c8-a894-4457-8df5-e05407cd139f,ACTIVE,2022-04-25 05:20:05.943783+00:00,2022-04-25 05:20:05.943783+00:00,22145,1681733816000,,
140793,8d247ccf-5aa0-49bb-87ae-20e22d7cd081,ee0691e4-f5bf-4fa8-af05-207fd01004f6,ACTIVE,2022-04-16 17:51:46.813938+00:00,2022-04-16 17:51:46.813938+00:00,22478,1681733816000,,
140793,faefc1e3-8a03-4f66-bc74-502cd8c72576,b1cecc5a-9585-4a6d-a9c2-d125f5fee8ae,ACTIVE,2022-03-14 06:10:00.651700+00:00,2022-03-14 06:10:00.651700+00:00,22488,1681733816000,,
140793,c634cad7-d37e-4f15-9139-0e06ffa66472,aad2f2b2-5397-4395-8c1f-821d039b551f,ACTIVE,2022-04-17 03:14:21.005168+00:00,2022-04-17 03:14:21.005168+00:00,22713,1681733816000,,
140793,206128da-9e59-4080-bb30-6c757da777a2,ce55d348-83ec-4bc2-bffa-a81d236047fd,ACTIVE,2022-04-17 09:11:23.939268+00:00,2022-04-17 09:11:23.939268+00:00,22715,1681733816000,,
140793,373a7e7f-9d75-4462-920c-c3b0d55eab26,41242c2c-2f83-4097-a8dc-5a9c10c94818,ACTIVE,2022-04-17 12:44:26.298309+00:00,2022-04-17 12:44:26.298309+00:00,22770,1681733816000,,
140793,c618a8cb-3def-4415-808b-d7109e509c45,904dbdad-a2a5-4a4d-9ceb-4c42b53cc76c,ACTIVE,2022-04-18 04:29:23.037734+00:00,2022-04-18 04:29:23.037734+00:00,24092,1681733816000,,
140793,1651500c-a513-4f25-8d41-5965953a7fcc,7c3870e8-84a1-42cc-86f2-40deff66f28f,ACTIVE,2022-04-18 05:26:49.378981+00:00,2022-04-18 05:26:49.378981+00:00,24093,1681733816000,,
140793,67408f07-7c17-443d-bb1b-b056f3b69260,9e93fb0e-f099-4b4a-b742-b6c0220941ad,ACTIVE,2022-04-17 19:27:29.694136+00:00,2022-04-17 19:27:29.694136+00:00,24145,1681733816000,,
140793,4eef5912-7d1e-4150-be00-818b3ccce484,bd0f3b1e-dc8a-4cf5-9d45-fc482eb1b291,ACTIVE,2022-04-18 05:06:42.482223+00:00,2022-04-18 05:06:42.482223+00:00,24149,1681733816000,,
140793,18b185cb-5788-40c3-96ab-ebc03e345078,df401c28-0fa7-4dfc-ad60-c613623a1d6d,ACTIVE,2022-04-18 06:14:32.496151+00:00,2022-04-18 06:14:32.496151+00:00,24151,1681733816000,,
140793,4e47fe8d-3a49-4178-860a-eaf4c812a46d,26351061-1f5d-4a31-bd44-99225d62f0a3,ACTIVE,2022-04-18 06:16:26.738159+00:00,2022-04-18 06:16:26.738159+00:00,24372,1681733816000,,
140793,6cc0a500-73b0-4007-a30a-0020f09e458a,3a398f00-983b-4a33-ab6a-f975bc90dffa,ACTIVE,2022-04-18 06:31:09.071964+00:00,2022-04-18 06:31:09.071964+00:00,24373,1681733816000,,
140793,e5b399fc-816a-4127-8619-1e460d2f4145,2e7fbc98-efff-46b0-a154-8be9150aef74,ACTIVE,2022-04-18 10:33:29.991881+00:00,2022-04-18 10:33:29.991881+00:00,25125,1681733816000,,
140793,0688f72d-fd6c-4957-831d-0886c8bd97f1,df016d7e-2bc8-41f9-93fa-c3db8fffdeb8,ACTIVE,2022-03-04 13:13:59.294906+00:00,2022-03-04 13:13:59.294906+00:00,25126,1681733816000,,
